userName,content,score,at
Kontrol Host,"Bagus aplikasinya, tapi update terbaru gak bisa transaksi pakai linkaja, tapi aplikasi ini sangat mudah digunakan dan gak ribet, sangat bermanfaat menurut aku.",5,2023-05-30 23:41:39
Bang Madun,"App burik masa saya masukin no indihome saya di bilang ga terdaftar/di kenal,padahal itu no sering pembayaran tiap bulan nya,,",5,2023-05-30 23:32:18
Min Zi,Aplikasi myIndiHome sangat rekomendasi untuk pengguna wifi dengan biaya terjangkau bisa memakai wifi dengan lancar dan gak ada kendala sangat rekomen pokonya 👍,5,2023-05-30 23:27:20
Hadi Yulianto,"aplikasi mantap bisa digunakan untuk melacak penggunaan perbulan, jadi ngerti siap bulannya keluar berapa giga 👍",5,2023-05-30 23:18:36
Rudi Amin,FUP cepat habis cepat penuh akhirnya lelet. Semoga segera diperbaiki agar pelanggan Indihome tidak kabur ke sebelah,1,2023-05-30 21:53:58
Winarno Lomboan,Lebih praktis dan efisien dengan adanya aplikasi myindiHome,5,2023-05-30 21:43:29
rudi amin,FUP cepet penuh. Dan akhirnya pelanggan harus tambah biaya lagi. Ingat lo Di sebelah ada produk ICOn milik PLN . Yang tanpa FUP,1,2023-05-30 21:41:35
gieyura tv,good,5,2023-05-30 21:34:24
Gustie Aza Gin,"Sangat terbantu dalam perihal ngecek tagihan tiap bulan nya dan juga bisa mengetahui total pemakaian kuota setiap bulan nya, selalu update untuk penawaran yang baru...",5,2023-05-30 20:08:46
Basrul Syaiful,Jelas tidak ada yg disembunyikan baik promosi maupun yg lain,5,2023-05-30 17:16:17
cendana studio,bagus,3,2023-05-30 17:07:24
Danang Rochmad,jos,5,2023-05-30 17:01:08
Ruslan Uzma,Indihome udah mahal internet jelek pake fup entar kalo iconet dah masuk mending pindah aja lebih murah.tolong kalo kasih promo jangan cuma pelangan baru pelangan lama di pikirin.jadi pelangan lama nga kepengin pindah.ingat pesaing Indihome dah melebar kalo Indihome kasih promo hanya pelanggan baru siap siap pelangan lama kabur,1,2023-05-30 16:12:06
Ariska Nur Mala Sari,"Jaringannya ilang², tolong y indihome kualitasnya di tingkatkan",1,2023-05-30 15:50:40
Ayara,"Aplikasinya bagus sangat mudah digunakan, fitur""nya juga mudah dipahami",5,2023-05-30 14:12:16
Reyhan Nuralam,Aplikasi Indihome sangat bagus di gunakan jaringan jadi lancar bangett rekomended banget deh bagi pemula,5,2023-05-30 13:49:12
Sekilas Info (Review Singkat),"Mohon dipermudah pelanggan dalam kebebasan mengakses dan membeli fitur Speed Refresment, kok sering bermasalah yah?",5,2023-05-30 13:36:49
Risman Aris,"Selama pemakaian sampai sekarang belum di temukan kendala yang membuat tidak nyaman, semoga lancar selalu dan lebih baik",5,2023-05-30 13:30:42
Aim Ibrahim,May Indihome mantapppp,5,2023-05-30 13:10:51
yanti tobe,Oke,5,2023-05-30 12:57:21
Egi Febriansyah,"Aplikasi ribet banyak fitur yg kurang terutama pindah, downgrade atau upgrade paket...jika bsa adain fitur itu",3,2023-05-30 12:55:40
Muhammad Alqifari,"Aplikasi myindihome sangat bagus recommended bgt buat pemula, kenapa?krna bnyak fitur"" yg bsa d gunakan,sma bnyak pilihannya,,",5,2023-05-30 12:51:55
HCW,Aplikasi mudah digunakan dg fitur yg nyaman,5,2023-05-30 12:48:21
world homemade,upgrade speed tertera + 15k tapi setelah di upgrade speed +200k hati²,2,2023-05-30 12:34:39
Cecep Edisugandi,Mantab,5,2023-05-30 12:32:57
dinaria85 dina85,Bermanfaat.... Good,5,2023-05-30 12:17:16
pindahh vietnam,"aplikasi mylindhome sangat bagus untuk recomended,karena aplikasinya mudah di gunakan,program lainnya juga menarik",5,2023-05-30 12:16:20
Taufiqirham Shorts,"Sejauh ini pengalaman memakai aplikasi myindihome sangat terbantu sih, fiturnya juga banyak mulai dari fitur pembayaran dan terlebih fitur pusat bantuan yang cepat tanggap yang membuat pengguna seperti saya merasa terbantu jika di saat-saat mengalami kendala atau gangguan.",5,2023-05-30 11:57:16
Titi Rahayu,"Aplikasi yg sangat membantu, mempermudah dalam pengecekan",5,2023-05-30 11:32:33
Kiamat,koneksi ampas,1,2023-05-30 11:31:34
12 MIPA 2 : 27 - MOH AKBAR HIDAYATULLAH,"Aplikasi ga bener, masa mau nukarin poin ke hadiah aja 1 abad gabisa bisa, gimana sih IT nya",1,2023-05-30 11:30:06
Z&Z Channel,Pelayanan sangat baik. Internet lancar...good deh,5,2023-05-30 11:21:54
Yuhar Madiandi,Sangat membantu dan memutuskan,5,2023-05-30 11:17:09
Erika Susantie,"Apk mudah digunakan, programnya menarik dan pelayanan yang cepat",5,2023-05-30 11:05:43
Citra dewi Irdayanti,"aplikasinya bagus, mudah digunakan dan ga ribet, bermanfaat banget pokonya",5,2023-05-30 10:43:31
Cybermia Cybermia,"Gk becus anjirrr, teknisinya banyak bohong, bilang sakit lah, alatnya gk ada lah. Gk usah kerja gk sih klw banyak alasan gitu. Mana ktp udh di sending lagi.",1,2023-05-30 10:38:40
Muhamad Ibnu roekhan,Aplikasi di buka lama sekali mnculnya,3,2023-05-30 10:27:26
Hermanisme Channel,Mantap,5,2023-05-30 09:40:23
Rahmad Surya,Mau pengaduan selalu gagal.,2,2023-05-30 09:40:08
a pratiwi,"Aplikasi indihome tu sangat rekomen bangetttt, fiturnya lengkap, detailnya sangat sngat jelass🥳🥳 pokonya top mantap is the best indihome🤩🤩",5,2023-05-30 09:22:38
Yh Raes,"makin hari makin oke pelayanannya,jarang gangguan syukur bgt",5,2023-05-30 08:57:14
Nyutz Yang Terlupakan,Slow respon,3,2023-05-30 08:07:50
cimot bangor,"apk nya sangat bagus dan recommend untuk digunakan, pokoknya mantep banget deh",5,2023-05-30 08:03:15
mery merry,"1 kata mantap jaringannya, terkadang aja error tp bs dibantu walau lama, tapi tolonglah pegawainya jg jutek x kl dimintol mslh jaringan errorlah dan router errorlah, kita butuh solusi bukan butuh jutek 😅",5,2023-05-30 07:48:20
Syamsul Bundu,Cepat Dan akurat,5,2023-05-30 07:37:17
Mokhamad Nurcahyono,kecepatan nya memuaskan sprti copy paste. lumayan stabil jika dipecah beberapa access point,5,2023-05-30 07:28:01
Annisa Fikriyani,"Aplikasi my Indihome bagus, Tampilan mudah di pahami, banyak fitur fitur menarik dan juga banyak promo.",5,2023-05-30 07:23:49
"Ibnu Hary Wahyudi,S.Pd.",Rekomendasi,5,2023-05-30 06:51:12
Dyaka Anggana,"Aplikasi MyIndiHome membantu banget buat langganan internet dengan cepat dan mudah. Fitur mudah dipahami, mantap👍",5,2023-05-30 06:32:02
bimbo 33,Mudah penggunaannya. Aplikasinya juga ringan dan mudah dimengerti dengan fitur2 yang sangat membantu. Terima kasih myindihome,5,2023-05-30 06:22:34
Wiwi Wi,"Aplikasi myindihome sangat rekomended. Layanannya sangat mudah dipahami, fitur fiturna juga banyak dan jelas semua.",5,2023-05-30 06:19:30
Rio Simangunsong,Aplikasinya ringan jadi lebih memudahkan penggunanya gak lambat. Semoga kedepannya makin baik performanya. 👍👍,5,2023-05-30 06:17:05
RobanNezt,"Mantab, sangat membantu pengecekan status data",5,2023-05-30 06:16:12
Gaje Gojo,aplikasi nya bagus sangat bermanfaat,5,2023-05-30 05:16:19
Heni Haerani,"Aplikasi myIndiHome keseluruhan sangat bagus sekali.Semua informasi mudah di akses,serta fitur pelayananny sangat dalam merespon dan menangani setiap kendala atau masalah.Terimakasih myIndiHome👍👍👍",5,2023-05-30 05:09:07
Christopher,WiFi sampah,1,2023-05-30 05:05:12
dyta,"Banyak fitur-fitur yang bermanfaat dan sangat mudah untuk digunakan, ga bikin pusing bagi yang agak gaptek seperti saya😃👍",5,2023-05-30 04:45:17
Arelin Vania,Aplikasinya bagus bisa beli voucer game online juga mantap,5,2023-05-30 04:40:32
Jefri Yandi,Aplikasinya sudah bagus jadi lebih memudahkan kita,5,2023-05-30 04:38:50
Fitria Suryana,aplikasi indihome super kenceng. gak lemot sama sekali. suka bgt deh. semoga bisa terusss langganan ya.,5,2023-05-30 04:33:50
first putrac,Good,5,2023-05-30 04:33:16
Rahma Octaviani,"aplikasi myIndiHome gampang sekali digunakan, recommended bgt dehh",5,2023-05-30 04:30:35
Desma Utama,"Lelet parahh, minta tagihan nomor 1 pelayanan nya bintang 1",1,2023-05-30 04:23:00
hendri faizamali,Aplikasi myindihome sangat bagus dan recommended .karena aplikasi mudah untuk digunakan . program layanan menarik dan putur banyak banget terimakasih alasannya gue kasih bintang lima apk myindihome bagus banget untuk digunakan bisa transaksi cepat dan aman terimakasih,5,2023-05-30 03:30:59
dessy maulani,Ok,5,2023-05-30 03:28:05
MOMY FAAZZAM,"customer service anda sangat buruk. nawarin fasilitas baru, ditolak malah dia kesel. menutup telp secara sepihak... saya ditelp di tgl 30 mei 2023, pukul 09.54, oleh seorang CS wanita. akun indihome saya atas nama Asti Milawati... tidak sopan seklai itu CS. saya tdk tau hrus ajukan pengaduan dimana, jd sementara saya tulis disini",1,2023-05-30 03:06:16
Anas Faisal,"Sdh di update, kenapa minta update melulu",2,2023-05-30 02:40:48
Nurul Abas,Sangat membantu,5,2023-05-30 02:32:48
Wiwik Ekanisasi,Good,5,2023-05-30 02:30:28
Goen Bahua,Pelayanan sangat memuaskan,5,2023-05-30 02:26:15
Rayssa Maulida,"Sebagai pengguna indihome ini aplikasi sangat ngebantu , kita bisa liat semuanya dari tagihan sampe jumlah pemakaian , pokoknya berguna banget",5,2023-05-30 02:13:40
ropikoh marzuki,"Sebagi pengguna indihome ini sangat bermanfaat sekali aplikasinya, di aplikasinya kita bisa liat semuanya dari tagihan , pemakaian lengkap semua pokoknya ngebantu banget aplikasinya,,",5,2023-05-30 02:10:25
KARIYOTO ZULI,Sat set mantab,5,2023-05-30 02:09:53
Daniel Paulus Haning,"Minim dalam hal kendala koneksi, sangat direkomendasikan bagi yang ingin memasang layanan IndiHome👍🏼",5,2023-05-30 02:03:17
Family Adya,Yaoke,5,2023-05-30 01:03:43
Sari Cendana,"Saya baru download apk ini. Tapi pas mau daftar udah lengkap semua saya isi, tp tidak bisa di daftarkan. Apa masalahnya. Tolong perbaiki",2,2023-05-30 00:32:15
Gilang Kece,"Semoga kedepannya lebih dikembangin lagi,, so far aku make lancar2 aja kok, cuma kadang agak lag , fitur2nya menarik",5,2023-05-29 23:16:51
Michat,B aja B aja B aja,1,2023-05-29 23:01:58
wahyu zidan,Kami terbantu dengan adanya Indihome terimakasih,5,2023-05-29 21:52:40
Hikmat Ardiansyah,keren sangat bermanfaat,5,2023-05-29 20:55:29
Hamdan Ramdani,"Aplikasinya bagus, apalagi ada fitur tukar point ke diskon pembayaran tagihan seperti di blibli/shopee/ marketplace lain nya menurut saya sangat menarik dan paling banyak diminati, sering sering adain tukar point ke diskon pembayaran tagihan",5,2023-05-29 20:40:02
Abdurochman Sidik,"Setelah menggunakan layanan indihome selama 6 bulan lebih, Update Aplikasi myIndihome sangat bermanfaat sekali seperti fitur pengaduan layanan, bagi pengguna layanan Indihome. Fitur yang dihadirkan juga sangat lengkap, sehingga sangat mempermudah pengguna dalam dalam melihat tagihan, melakukan pembayaran, melihat penggunaan internet dan aktivasi layanan lainnya seperti Upgrade Speed Internet, Telepon, TV Box dan juga Cloud Storage.",5,2023-05-29 20:13:02
fajar alfiansyah,sinyal sering lag,1,2023-05-29 16:45:48
Bambang Kusnaidi,Oke,5,2023-05-29 16:09:28
YUNA Manurung,"Aplikasi myIndihome sangat bagus dan recommmended. Aplikasi myIndihome sangat memberi kemudahan dan kenyamanan untuk mengelola layanan Indihome, bisa dilakukan dimana saja dan kapan saja. Selalu pertahankan kualitasnya",5,2023-05-29 15:52:31
Annisa Puspa Paramitha (Icakaliyaa),Aplikasinya sangat membantu dan sangat memudahkan saya untuk mengetahui beberapa fitur dari myIndihome. Saya bisa melihat langsung tagihan internet saya tanpa perlu repot2 mengingat kapan saya harus membayar tagihan. Jarang ada gangguan dan kecepatan internetnya sangat mantap!!!!,5,2023-05-29 15:45:42
Sigit Mulyadi,Layanan makin bagus,5,2023-05-29 15:34:10
Aisyah Humaira,Apaan gak bisa login.. udah nunggu sejam tapi gak login juga...,1,2023-05-29 15:27:38
erwin palevi,apk jelek,1,2023-05-29 15:24:17
Dre,"Aplikasi sangat bagus, sangat mudah untuk di pahami dan penanggulangannya masalah cepat di selesaikan",5,2023-05-29 15:18:51
