sentiment_class,label,content
positif,1,bagus aplikasi baru baru tidak transaksi pakai linkaja aplikasi mudah guna tidak ribet manfaat
negatif,0,aplikasi burik masuk nomor indihome bilang tidak daftar kenal nomor bayar
positif,1,aplikasi myindihome rekomendasi guna wifi biaya jangkau pakai wifi lancar tidak ada kendala rekomen pokok
positif,1,aplikasi mantap guna lacak guna erti bulan giga
negatif,0,fup cepat habis cepat penuh lambat moga baik langgan indihome tidak kabur belah
positif,1,praktis efisien aplikasi myindihome
negatif,0,fup cepat penuh langgan biaya belah ada produk icon milik pln fup
positif,1,bagus
positif,1,bantu perihal ecek tagih total pakai kuota baru tawar
positif,1,jelas tidak ada sembunyi baik promosi
positif,1,bagus
positif,1,jos
negatif,0,indihome mahal internet jelek pakai fup iconet masuk mending pindah aja murah tolong kasih promo langgan langgan pikirin langgan tidak pindah saing indihome lebar indihome kasih promo langgan langgan kabur
negatif,0,jaring ilang tolong indihome kualitas tingkat
positif,1,aplikasi bagus mudah guna fitur mudah paham
positif,1,aplikasi indihome bagus guna jaring lancar banget rekomendasi banget mula
negatif,0,mohon mudah langgan bebas akses beli fitur cepat refreshment masalah
positif,1,pakai temu kendala tidak nyaman moga lancar baik
positif,1,indihome mantap
positif,1,mantap
negatif,0,aplikasi ribet fitur pindah turun kelas baru paket adakan fitur
positif,1,aplikasi myindihome bagus rekomendasi banget mula fitur guna pilih
positif,1,aplikasi mudah guna fitur nyaman
negatif,0,baru cepat tera baru cepat hati
positif,1,mantap
positif,1,manfaat bagus
positif,1,aplikasi myindihome bagus rekomendasi aplikasi mudah guna program tarik
positif,1,alam pakai aplikasi myindihome bantu fitur fitur bayar fitur pusat bantu cepat tanggap guna bantu alami kendala ganggu
positif,1,aplikasi bantu mudah kece
negatif,0,koneksi ampas
negatif,0,aplikasi tidak tukar poin hadiah aja abad tidak
positif,1,layan baik internet lancar bagus
positif,1,bantu putus
positif,1,aplikasi mudah guna program tarik layan cepat
positif,1,aplikasi bagus mudah guna tidak ribet manfaat banget pokok
negatif,0,tidak becus anjir teknisi bohong bilang sakit alat tidak ada tidak kerja tidak alas ktp kirim
negatif,0,aplikasi buka muncul
positif,1,mantap
negatif,0,adu gagal
positif,1,aplikasi indihome rekomen banget fitur lengkap detail jelas pokok top mantap baik indihome
positif,1,mantap layan jarang ganggu syukur banget
negatif,0,lambat respon
positif,1,aplikasi bagus rekomendasi guna pokok mantap banget
negatif,0,mantap jaring terkadang aja error bantu tolong pegawai jutek tolong jaring error router error butuh solusi butuh jutek
positif,1,cepat akurat
positif,1,cepat muas salin salin lumayan stabil pecah akses poin
positif,1,aplikasi indihome bagus tampil mudah paham fitur fitur tarik promo
positif,1,rekomendasi
positif,1,aplikasi myindihome bantu banget langgan internet cepat mudah fitur mudah paham mantap
positif,1,mudah guna aplikasi ringan mudah erti fitur bantu terima kasih myindihome
positif,1,aplikasi myindihome rekomendasi layan mudah paham fitur fiturnya jelas
positif,1,aplikasi ringan mudah guna tidak lambat moga depan baik kerja
positif,1,mantap bantu kece status data
positif,1,aplikasi bagus manfaat
positif,1,aplikasi myindihome bagus informasi mudah akses fitur layan merespon tangan kendala terima kasih myindihome
negatif,0,wifi sampah
positif,1,fitur fitur manfaat mudah guna tidak bikin pusing gaptek
positif,1,aplikasi bagus beli voucher game online mantap
positif,1,aplikasi bagus mudah
positif,1,aplikasi indihome super kencang tidak lambat suka banget moga langgan
positif,1,bagus
positif,1,aplikasi myindihome gampang guna rekomendasi banget
negatif,0,lambat parah tagih nomor layan bintang
positif,1,aplikasi myindihome bagus rekomendasi aplikasi mudah guna program layan tarik putus banget terima kasih alas kasih bintang aplikasi myindihome bagus banget guna transaksi cepat aman terima kasih
positif,1,mantap
negatif,0,langgan layan buruk menarwarkan fasilitas tolak kesal tutup telepon telpon tanggal mei cs wanita akun indihome nama asti milawati tidak sopan cs tidak tau aju adu mana tulis
negatif,0,baru baru melulu
positif,1,bantu
positif,1,bagus
positif,1,layan muas
positif,1,guna indihome aplikasi bantu lihat tagih pakai pokok guna banget
positif,1,bagi guna indihome manfaat aplikasi aplikasi lihat tagih pakai lengkap pokok bantu banget aplikasi
positif,1,sat set mantap
positif,1,minim kendala koneksi rekomendasi pasang layan indihome
positif,1,mantap
negatif,0,unduh aplikasi pas daftar lengkap isi tidak daftar tolong baik
positif,1,moga depan kembang pakai lancar aja kadang lag fitur tarik
negatif,0,aja aja aja
positif,1,bantu indihome terima kasih
positif,1,keren manfaat
positif,1,aplikasi bagus ada fitur tukar poin diskon bayar tagih blibli shopee marketplace tarik mati adakan tukar poin diskon bayar tagih
positif,1,layan indihome baru aplikasi myindihome manfaat fitur adu layan guna layan indihome fitur hadir lengkap mudah guna tagih bayar guna internet aktivasi layan baru cepat internet telepon tv box cloud storage
negatif,0,sinyal lag
positif,1,mantap
positif,1,aplikasi myindihome bagus rekomendasi aplikasi myindihome mudah nyaman kelola layan indihome mana tahan kualitas
positif,1,aplikasi bantu mudah fitur myindihome langsung tagih internet repot bayar tagih jarang ada ganggu cepat internet mantap
positif,1,layan bagus
negatif,0,tidak login tunggu jam tidak login
negatif,0,aplikasi jelek
positif,1,aplikasi bagus mudah paham tanggulang cepat selesai
positif,1,unduh tampil info jelas mantap
positif,1,program program layan tawar indihome tarik hubung teknisi mudah ada cek status jaring riwayat guna data perangkat hubung wifi pokok rekomendasi banget
positif,1,aplikasi myindihome rekomendasi mudah guna hubung teknisi ada aplikasi simpel layan tarik
positif,1,aplikasi bagus bantu
positif,1,mantap
positif,1,bantu
positif,1,aplikasi mudah langgan indihome manfaat terima kasih aplikasi
positif,1,telepon telemarketer indihome menarwarkan aktif video tambah baru cepat internet mbps bps gratis info jelas detail banget sayang putus telepon jalan moga indihome jaga kualitas ganggu
positif,1,bagus
positif,1,mantap
negatif,0,kesini lambat pas tanggal tanggal hari habis baleho ingat laku bayar banget pas gilir jaring masalah mati indihome tidak hubung telkom indihome usaha profesional tambah minggu mati ganti aja nama indihome langgan kecewa
positif,1,mohon jaring depan baik
positif,1,aplikasi guna indihome fitur tawar tarik
positif,1,baik
positif,1,mantap banget bintang bicara
positif,1,aplikasi bagus tidak berat tawar tarik
positif,1,aplikasi bantu
positif,1,mantap
positif,1,tampil bagus enak lengkap fitur
positif,1,tawar sedia aplikasi myindihome tarik
negatif,0,lapor susah internet putus
positif,1,aplikasi bagus rekomendasi banget mudah paham jelas fitur fitur lengkap
